first call	mean (ms)	std		second call	mean	std
org.springframework.web.util.HierarchicalUriComponents.expandInternal(org.springframework.web.util.UriComponents$UriTemplateVariables)	2.253221773	0.3282147295		org.springframework.core.codec.AbstractDataBufferDecoder.lambda$decodeToMono$1(org.springframework.core.ResolvableType,org.springframework.util.MimeType,java.util.Map,org.springframework.core.io.buffer.DataBuffer)	0.2150336869	0.03756995667
org.springframework.web.util.HierarchicalUriComponents.expandInternal(org.springframework.web.util.UriComponents$UriTemplateVariables)	2.230893705	0.3258420938		org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getHeaders$1(org.springframework.http.HttpHeaders,java.util.Map$Entry)	0.2141927576	0.0752623101
org.springframework.http.client.reactive.ReactorClientHttpResponse.getHeaders()	2.181465182	0.4229275741		org.springframework.core.io.buffer.NettyDataBufferFactory.join(java.util.List)	0.2135238889	0.3934876467
org.springframework.web.reactive.function.client.DefaultWebClient$DefaultResponseSpec$StatusHandler.test(org.springframework.http.HttpStatus)	2.125297205	0.4794092715		org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getHeaders$1(org.springframework.http.HttpHeaders,java.util.Map$Entry)	0.2105265051	0.03962332656
org.springframework.http.HttpStatus.isError()	2.089295114	0.4745170992		org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getHeaders$1(org.springframework.http.HttpHeaders,java.util.Map$Entry)	0.2083709192	0.04713337889
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,java.lang.Class[])	1.962792352	0.3790537921		org.springframework.core.ResolvableType$WildcardBounds.get(org.springframework.core.ResolvableType)	0.2057639899	0.04186193177
org.springframework.http.HttpStatus.is4xxClientError()	1.956997261	0.4534290286		org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getHeaders$1(org.springframework.http.HttpHeaders,java.util.Map$Entry)	0.2019986263	0.04314308683
org.springframework.web.util.HierarchicalUriComponents.expandQueryParams(org.springframework.web.util.UriComponents$UriTemplateVariables)	1.91287758	0.2857024995		org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	0.2014336869	0.04496409593
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,java.lang.Class[])	1.870324784	0.3186765978		org.springframework.http.HttpStatus.isError()	0.1997665354	0.03704361903
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,java.lang.Class[])	1.86468233	0.2671167796		org.springframework.core.codec.StringDecoder.decodeDataBuffer(org.springframework.core.io.buffer.DataBuffer,org.springframework.core.ResolvableType,org.springframework.util.MimeType,java.util.Map)	0.1987787778	0.03520794034
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,org.springframework.core.ResolvableType[])	1.849559409	0.3613836369		org.springframework.web.util.UriComponents.toString()	0.1981324444	0.07449027156
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,org.springframework.core.ResolvableType[])	1.764709011	0.2513633654		org.springframework.http.HttpHeaders.add(java.lang.String,java.lang.String)	0.1971508586	0.03797756149
org.springframework.http.client.reactive.ReactorClientHttpResponse.getBody()	1.763753955	0.279451021		org.springframework.http.HttpHeaders.add(java.lang.String,java.lang.String)	0.1918333333	0.04399205025
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,org.springframework.core.ResolvableType[])	1.757256341	0.3047712887		org.springframework.http.HttpHeaders.add(java.lang.String,java.lang.String)	0.1896686263	0.071838216
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,java.lang.Class[])	1.743257273	0.2809114516		org.springframework.http.HttpHeaders.add(java.lang.String,java.lang.String)	0.1884671212	0.0351237763
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.ResolvableType$VariableResolver)	1.695149352	0.3385825436		org.springframework.http.codec.DecoderHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	0.185561798	0.04226294811
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.SerializableTypeWrapper$TypeProvider,org.springframework.core.ResolvableType$VariableResolver)	1.677364909	0.3361258325		org.springframework.http.HttpHeaders.add(java.lang.String,java.lang.String)	0.1851181313	0.04346371417
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.ResolvableType$VariableResolver)	1.607048625	0.2297765135		org.springframework.core.codec.StringDecoder.decodeDataBuffer(org.springframework.core.io.buffer.DataBuffer,org.springframework.core.ResolvableType,org.springframework.util.MimeType,java.util.Map)	0.1820897071	0.03283558535
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.SerializableTypeWrapper$TypeProvider,org.springframework.core.ResolvableType$VariableResolver)	1.590097989	0.2275444331		org.springframework.web.util.HierarchicalUriComponents.toUriString()	0.1805710606	0.07268029763
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.ResolvableType$VariableResolver)	1.589962898	0.2814244765		org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	0.1781872626	0.03833840149
org.springframework.core.ResolvableType.forClassWithGenerics(java.lang.Class,org.springframework.core.ResolvableType[])	1.579115864	0.2646423886		org.springframework.http.HttpHeaders.add(java.lang.String,java.lang.String)	0.177601798	0.03689163376
org.springframework.http.client.reactive.ReactorClientHttpConnector.connect(org.springframework.http.HttpMethod,java.net.URI,java.util.function.Function)	1.57818408	0.3433175257		org.springframework.util.MimeTypeUtils.parseMimeType(java.lang.String)	0.1766990404	0.03815280349
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.SerializableTypeWrapper$TypeProvider,org.springframework.core.ResolvableType$VariableResolver)	1.571350591	0.2793240333		org.springframework.core.codec.StringDecoder.canDecode(org.springframework.core.ResolvableType,org.springframework.util.MimeType)	0.1687547677	0.03938431817
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.ResolvableType$VariableResolver)	1.428403227	0.245499062		org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	0.1679421919	0.04500747743
org.springframework.core.ResolvableType.forType(java.lang.reflect.Type,org.springframework.core.SerializableTypeWrapper$TypeProvider,org.springframework.core.ResolvableType$VariableResolver)	1.410713352	0.2427481567		org.springframework.web.util.HierarchicalUriComponents.encodeQueryParams(java.util.function.BiFunction)	0.1655986061	0.03450276361
org.springframework.http.codec.DecoderHttpMessageReader.getContentType(org.springframework.http.HttpMessage)	1.226969057	0.250929365		org.springframework.http.codec.DecoderHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	0.1605998384	0.03543393792
org.springframework.core.ResolvableType.asVariableResolver()	1.112852307	0.2244662548		org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	0.159100798	0.05002340642
org.springframework.core.codec.AbstractDataBufferDecoder.lambda$decodeToMono$1(org.springframework.core.ResolvableType,org.springframework.util.MimeType,java.util.Map,org.springframework.core.io.buffer.DataBuffer)	1.003247534	0.2524178515		org.springframework.http.client.reactive.AbstractClientHttpRequest.lambda$null$0()	0.1590265455	0.03289812888
org.springframework.core.codec.StringDecoder.decodeDataBuffer(org.springframework.core.io.buffer.DataBuffer,org.springframework.core.ResolvableType,org.springframework.util.MimeType,java.util.Map)	0.9831220909	0.2494465623		org.springframework.web.util.UriComponentsBuilder.cloneBuilder()	0.1585869394	0.02784750649
org.springframework.core.codec.StringDecoder.decodeDataBuffer(org.springframework.core.io.buffer.DataBuffer,org.springframework.core.ResolvableType,org.springframework.util.MimeType,java.util.Map)	0.9579873523	0.2469484585		org.springframework.util.MimeTypeUtils.parseMimeType(java.lang.String)	0.1585569192	0.02895146603
org.springframework.web.util.HierarchicalUriComponents.encodeQueryParams(java.util.function.BiFunction)	0.9445856364	0.2594936759		org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	0.153617303	0.0305033235
org.springframework.web.reactive.function.client.DefaultClientRequestBuilder.headers(java.util.function.Consumer)	0.9395847045	0.3015956264		org.springframework.core.codec.AbstractDecoder.canDecode(org.springframework.core.ResolvableType,org.springframework.util.MimeType)	0.1514723737	0.03537936672
org.springframework.web.reactive.function.BodyExtractors.toMono(java.lang.Class)	0.8892489659	0.2107725933		org.springframework.http.codec.DecoderHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	0.1503419899	0.04202730206
org.springframework.core.io.buffer.DataBufferUtils.join(org.reactivestreams.Publisher)	0.8519278864	0.353001741		org.springframework.web.reactive.function.client.ExchangeFunctions$DefaultExchangeFunction.exchange(org.springframework.web.reactive.function.client.ClientRequest)	0.1476163838	0.03259564778
org.springframework.web.reactive.function.BodyExtractors.toMono(org.springframework.core.ResolvableType)	0.8121705568	0.1975782638		org.springframework.core.ResolvableType.isArray()	0.1437397273	0.02986017903
org.springframework.http.HttpHeaders.addAll(org.springframework.util.MultiValueMap)	0.8082951932	0.2806892306		org.springframework.http.codec.DecoderHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	0.142537404	0.04704388695
org.springframework.web.reactive.function.BodyExtractors.lambda$readWithMessageReaders$18(org.springframework.core.ResolvableType,org.springframework.http.MediaType,org.springframework.http.codec.HttpMessageReader)	0.7693935795	0.1596203814		org.springframework.core.codec.ByteArrayDecoder.canDecode(org.springframework.core.ResolvableType,org.springframework.util.MimeType)	0.1415545152	0.03224996597
org.springframework.http.codec.DecoderHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	0.7512825341	0.1571980019		org.springframework.util.CollectionUtils.unmodifiableMultiValueMap(org.springframework.util.MultiValueMap)	0.1404970202	0.115860024
org.springframework.http.codec.json.AbstractJackson2Decoder.canDecode(org.springframework.core.ResolvableType,org.springframework.util.MimeType)	0.7281362273	0.1536428458		org.springframework.web.reactive.function.BodyInserters.lambda$static$0(org.springframework.http.ReactiveHttpOutputMessage,org.springframework.web.reactive.function.BodyInserter$Context)	0.1402965657	0.0712467358
org.springframework.http.client.reactive.ReactorClientHttpResponse.getHeaders()	0.7126101705	0.1478669407		org.springframework.http.codec.ServerSentEventHttpMessageReader.canRead(org.springframework.core.ResolvableType,org.springframework.http.MediaType)	0.1369334141	0.02763865817
org.springframework.util.ConcurrentReferenceHashMap.get(java.lang.Object)	0.6540090114	0.1403293389		org.springframework.core.codec.ByteBufferDecoder.canDecode(org.springframework.core.ResolvableType,org.springframework.util.MimeType)	0.1313671414	0.03875109675
org.springframework.util.ConcurrentReferenceHashMap.purgeUnreferencedEntries()	0.6171648636	0.1987452877		org.springframework.core.ResolvableType.getSuperType()	0.127654	0.02471681494
org.springframework.util.ConcurrentReferenceHashMap.getEntryIfAvailable(java.lang.Object)	0.6160474545	0.1337103067		org.springframework.core.codec.AbstractDecoder.lambda$canDecode$0(org.springframework.util.MimeType,org.springframework.util.MimeType)	0.1268799293	0.03181799511
org.springframework.util.ConcurrentReferenceHashMap.purgeUnreferencedEntries()	0.6018716705	0.1302298945		org.springframework.core.ResolvableType.hasUnresolvableGenerics()	0.1267152121	0.02819775985
org.springframework.http.client.reactive.ReactorClientHttpResponse.lambda$getHeaders$1(org.springframework.http.HttpHeaders,java.util.Map$Entry)	0.5911451136	0.126923519		org.springframework.util.CollectionUtils.unmodifiableMultiValueMap(org.springframework.util.MultiValueMap)	0.1244696667	0.06176764053
